ADD,EPA,District ,Market,Month,Year,Wk1,Wk2,Wk3,Wk4,Wk5,Commodity,Price
Lilongwe,Linthipe,Dedza,Chimbiya,April,2024,600.25,550.28,520.18,500.14,,Maize,542.7125
Lilongwe,Bembeke,Dedza,Bembeke Turn off,April,2024,,,,,,Maize,#DIV/0!
Lilongwe,Njolomole,Ntcheu,Lizulu,April,2024,997.65,998.33,998.47,998.59,,Maize,998.26
Lilongwe,Sharpevale,Ntcheu,Sharpevaley,April,2024,,,,,,Maize,#DIV/0!
Lilongwe,Tsangano,Ntcheu,Tsangano Turn off,April,2024,,,,,,Maize,#DIV/0!
Lilongwe,Nsipe,Ntcheu,Ntcheu,April,2024,,,,,,Maize,#DIV/0!
Lilongwe,Manjawira,Ntcheu,Ntonda,April,2024,,,,,,Maize,#DIV/0!
Machinga,Bazale,Balaka,Balaka,April,2024,760.00,752.41,758.67,760.11,,Maize,757.7975
Machinga,Chikweo,Machinga,Ntaja,April,2024,,,,,,Maize,#DIV/0!
Machinga,Mpiya,Machinga,Namwera,April,2024,,,,,,Maize,#DIV/0!
Machinga,Mbwadzulu,Mangochi,Monkey Bay,April,2024,,,,,,Maize,#DIV/0!
Machinga,Nasenga,Mangochi,Mangochi,April,2024,800,800,800,800,800,Maize,800
Machinga,Mtubwi,Machinga,Liwonde,April,2024,,,,,,Maize,#DIV/0!
Machinga,Mpokwa,Zomba,Jali,April,2024,,,,,,Maize,#DIV/0!
Machinga,Ngwelero,Zomba,Mayaka,April,2024,,,,,,Maize,#DIV/0!
Machinga,Thondwe,Zomba,Zomba,April,2024,,,,,,Maize,#DIV/0!
Machinga,Thondwe,Zomba,Thondwe,April,2024,,,,,,Maize,#DIV/0!
Blantyre,Mbulumbuzi,Chiradzulu,Chiradzulu,April,2024,600,600,600,550,,Maize,587.5
Blantyre,Lunzu,Blantyre,Lunzu,April,2024,997.65,998.33,998.47,998.59,,Maize,998.26
Blantyre,Mtonda,Blantyre,Limbe,April,2024,,,,,,Maize,#DIV/0!
Blantyre,Dwale,Thyolo,Bvumbwe,April,2024,1933.33,1933.33,1933.33,1933.33,1933.33,Maize,1933.33
Blantyre,Nkhonjeni,Thyolo,Luncheza,April,2024,850,850,850,850,850,Maize,850
Blantyre,Mwanza,Mwanza,Mwanza,April,2024,700,700,700,700,700,Maize,700
Blantyre,Neno,Neno,Neno,April,2024,700,650,600,600,600,Maize,637.5
Blantyre,Nkhulambe,Phalombe,Chiringa,April,2024,,,,,,Maize,#DIV/0!
